t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
235.4197481,CADE,2144.1,large,0,CADE 2144.1 0 MPa,CADE 2144.1,280,4.31,-0.293162387,0.999994828,-82.08546847,-5.626286708,v18,0,vacuum,
234.5846922,CADE,2144.2,large,0,CADE 2144.2 0 MPa,CADE 2144.2,280,3.69,-0.062499635,0.999836138,-17.49989766,-1.636412903,v18,24.85961322,native,
234.5846922,CADE,2144.2,large,0,CADE 2144.2 0 MPa,CADE 2144.2,280,3.56,-0.062499635,0.999836138,-17.49989766,-1.75810833,v18,24.85961322,native,
235.4145828,CADE,2144.2,large,0,CADE 2144.2 0 MPa,CADE 2144.2,279,3.56,-0.083475279,0.997867282,-23.28960285,-2.339764813,v18,0,vacuum,
240.5769726,CADE,2144.2,large,4,CADE 2144.2 4 MPa,CADE 2144.2,275,3.56,-0.069609182,0.992264012,-19.14252491,-1.923133104,v18,17.80656357,NA,
240.590824,CADE,2144.2,large,5,CADE 2144.2 5 MPa,CADE 2144.2,275,3.56,-0.08703742,0.999303759,-23.93529041,-2.404633116,v18,-2.772428374,NA,
234.614388,CADE,2144.3,large,0,CADE 2144.3 0 MPa,CADE 2144.3,232,3.93,-0.215428328,0.998901951,-49.9793721,-4.120176432,v18,22.13515493,native,
235.4340784,CADE,2144.3,large,0,CADE 2144.3 0 MPa,CADE 2144.3,232,3.93,-0.276669565,0.999702598,-64.18733905,-5.29144626,v18,0,vacuum,
234.7251053,PILA,2245.1,large,2,PILA 2245.1 2 MPa,PILA 2245.1,280,7.49,-0.320508191,0.999506232,-89.74229349,-2.036777776,v18,23.92237437,native,
235.3902854,PILA,2245.1,large,0,PILA 2245.1 0 MPa,PILA 2245.1,279,7.49,-0.422801005,0.99866741,-117.9614805,-2.677236256,v18,0,vacuum,
232.6933575,ABCO,2384.1,large,2,ABCO 2384.1 2 MPa,ABCO 2384.1,28,4.93,-0.184736573,0.999344002,-5.172624039,-0.270973733,v18,81.19945622,native,
233.4229133,ABCO,2384.1,large,0,ABCO 2384.1 0 MPa,ABCO 2384.1,280,4.93,-0.116362164,0.998915369,-32.58140578,-1.706813616,v18,-18.42116132,vacuum,
234.7083582,ABCO,2384.1,large,0,ABCO 2384.1 0 MPa,ABCO 2384.1,280,4.93,-0.098261292,0.952015593,-27.51316185,-1.441307953,v18,0,vacuum,
232.6991985,ABCO,2384.2,large,2,ABCO 2384.2 2 MPa,ABCO 2384.2,28,4.44,-0.16107726,0.999780127,-4.510163289,-0.29129729,v18,90.94123432,native,
233.4335534,ABCO,2384.2,large,0,ABCO 2384.2 0 MPa,ABCO 2384.2,280,4.44,-0.179046064,0.999836153,-50.13289784,-3.237926509,v18,-0.693066974,vacuum,
234.7130984,ABCO,2384.2,large,0,ABCO 2384.2 0 MPa,ABCO 2384.2,280,4.44,-0.177813696,0.999393909,-49.7878348,-3.21563997,v18,0,vacuum,
